species,X,date,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes_on_plant_char,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,end_time,thermocoupler_height,hotplate_height,notes_on_flam_data,Species,fd,tti,pfg,max_temp,time_at_max_temp,max_temp_sensor,start_temp,start_temp_sensor,stable_avg_temp,temp_change,avg_temp_ch3,max_heat_flux_loessCH7,time_at_max_heat_flux_loessCH7,max_heat_flux_loessCH8,time_at_max_heat_flux_loessCH8,avg_heat_flux_stableCH7,avg_heat_flux_stableCH8,heat_flux_change,prop_ig
ARTCAL,0,2022-08-03,1,1,SM,yes,25.5,4.5,3,18.51,0,0.22999999999999998,NA,10:18:36,26.6,54,0,NA,M,10:25:18,10:25:20,NA,NA,NA,NA,10:25:18,26,10:26:17,10:26:17,19,16.5,NA,ARTCAL,2,402,57,183.9,10:25:19,CH1,179.1,CH1,182.99734042553192,4.800000000000011,224.49978260869565,5610.486256001278,10:22:19,3503.3847597456243,10:25:10,0.7485625,0.41203590425531916,3502.972723841369,0.14285714285714285
ARTCAL,6,2022-08-03,2,3,SM,yes,25,7,4.3,20.06,16,0.13,"thick stem, second cut of same branch",11:26:49,29.6,41,1,11:27:10,1,11:27:27,11:27:30,NA,NA,NA,NA,11:27:27,32,11:31:54,11:31:54,19,16.5,NA,ARTCAL,3,38,264,248.5,11:27:30,CH2,238.1,CH2,243.28333333333333,10.400000000000006,226.73223684210527,5707.954679639806,11:27:02,3832.614468432723,11:31:20,0.773125,0.42570833333333336,3832.1887600993896,0.14285714285714285
ARTCAL,10,2022-08-03,3,4,SM,yes,25,2.2,2,17.49,0,0.21000000000000002,NA,11:52:06,29.6,41,1,11:54:13,M,11:55:26,11:55:37,NA,NA,NA,NA,11:55:25,17,12:02:10,12:02:10,19,16.5,NA,ARTCAL,11,200,393,221.7,11:55:26,CH2,227.8,CH2,227.56494252873563,-6.100000000000023,227.05223880597015,5855.113572748997,11:53:41,3771.8231614222705,11:59:54,0.7824655172413794,0.4449109195402299,3771.37825050273,0.14285714285714285
ARTCAL,16,2022-08-03,4,6,SM,yes,25,5,3.6,18.14,6,0.16,NA,12:49:53,32.2,36,1,12:50:12,1,12:51:06,12:51:09,NA,NA,NA,NA,12:51:08,30,12:52:23,12:52:23,19,16.5,NA,ARTCAL,3,73,74,223.2,12:51:08,CH2,221.3,CH2,224.0627659574468,1.8999999999999773,223.13020134228188,5993.443596994499,12:51:33,3910.889428581384,12:51:19,0.8005212765957447,0.4321808510638298,3910.45724773032,0.14285714285714285
ARTCAL,18,2022-08-03,5,2,SM,yes,25.2,2.5,2.6,18.18,3,0.12,NA,13:28:13,31.9,40,1,13:28:30,1,13:30:01,13:30:09,NA,NA,NA,NA,13:30:01,9,13:32:29,13:32:29,19,16.5,NA,ARTCAL,8,108,140,221.7,13:30:06,CH2,217.1,CH2,222.96768292682927,4.599999999999994,227.00156862745098,5867.468575476443,13:29:53,3793.586576070578,13:31:15,0.7759817073170732,0.44243292682926827,3793.144143143749,0.14285714285714285
ARTCAL,22,2022-08-03,5,6,SM,yes,25,2.6,2,17.87,1,0.12,NA,14:02:31,32.3,38,0,NA,1,14:06:19,14:06:26,NA,NA,NA,NA,14:06:19,18,14:10:36,14:10:36,19,16.5,NA,ARTCAL,7,228,250,204.3,14:06:22,CH2,196.9,CH2,202.59232673267326,7.400000000000006,232.5237603305785,5984.085192257727,14:09:43,4001.2444209670675,14:09:17,0.8003341584158415,0.4545841584158416,4000.7898368086517,0.14285714285714285
ARTCAL,27,2022-08-25,7,4,RD,yes,25,5,3.6,18.83,6,0.135,NA,11:27:42,31.7,42,1,11:28:05,1,11:28:45,11:29:00,NA,NA,NA,NA,11:28:46,24,11:33:16,11:33:16,19,15,NA,ARTCAL,15,63,256,194.4,11:28:56,CH2,190.5,CH2,191.01216216216216,3.9000000000000057,240.86216216216215,6281.81217578613,11:27:52,4138.656221290967,11:27:48,0.8442027027027027,0.47914864864864865,4138.177072642318,0.14285714285714285
ARTCAL,30,2022-08-25,7,7,RD,yes,25,13.4,7.6,19.1,3,0.16999999999999998,NA,11:54:55,33.1,38,1,11:55:09,1,11:56:24,11:56:27,NA,NA,NA,NA,11:56:24,16,11:57:27,11:57:27,19,15,NA,ARTCAL,3,89,60,189.4,11:56:27,CH2,182.6,CH2,185.6563492063492,6.800000000000011,235.9728476821192,6370.398270398424,11:56:26,4173.402685137592,11:56:55,0.8253730158730158,0.47963492063492064,4172.923050216957,0.14285714285714285
ARTCAL,48,2022-08-30,10,1,AC,yes,25,2.2,2.1,17.58,0,0.27999999999999997,NA,09:56:37,25.5,52,1,09:57:59,M,10:04:01,10:04:12,NA,NA,NA,NA,10:04:08,11,10:04:32,10:04:32,19,15,NA,ARTCAL,11,444,20,154.9,10:04:06,CH1,147,CH2,157.46411483253587,7.900000000000006,221.2710970464135,5392.79283724418,10:03:32,3388.729417650623,10:03:12,0.6997954545454546,0.4003732057416268,3388.329044444881,0.14285714285714285
ARTCAL,49,2022-08-30,10,2,AC,yes,25,2.7,1.6,17.52,0,0.19,NA,10:06:42,26,51,1,10:07:05,M,10:12:15,10:12:28,NA,NA,NA,NA,10:12:18,6,10:16:28,10:16:28,19,15,NA,ARTCAL,13,333,240,170.9,10:12:19,CH2,161.5,CH2,169.1374592833876,9.400000000000006,225.71042735042735,5398.888364651753,10:09:26,3614.0629988770197,10:15:30,0.7183778501628665,0.4206498371335505,3613.642349039886,0.14285714285714285
ARTCAL,50,2022-08-30,10,3,AC,yes,23,7,2.4,17.99,2,0.16999999999999998,NA,10:18:02,27,47,0,NA,1,10:19:31,10:19:40,NA,NA,NA,NA,10:19:31,27,10:25:43,10:25:43,19,15,NA,ARTCAL,9,89,363,176.5,10:19:40,CH2,174.3,CH2,176.78412698412697,2.1999999999999886,228.91195652173914,5477.165876610692,10:22:50,3825.6467611176777,10:23:31,0.7465,0.4384523809523809,3825.2083087367255,0.14285714285714285
ARTCAL,53,2022-08-30,10,6,AC,yes,25,5,3,18.13,8,0.16999999999999998,NA,10:43:31,34,40,0,NA,1,10:44:02,10:44:04,NA,NA,NA,NA,10:44:03,22,10:53:34,10:53:34,19,15,NA,ARTCAL,2,31,570,178.2,10:44:04,CH2,174.2,CH2,177.16,4,232.35996677740863,5710.451601504442,10:48:23,3879.4485957733586,10:51:22,0.7932,0.4507,3878.997895773359,0.14285714285714285
ARTCAL,55,2022-08-30,10,8,AC,yes,25,6.5,3.6,17.88,2,0.22999999999999998,NA,11:10:52,34,41,0,NA,M,11:20:48,11:20:49,11:20:54,11:21:05,NA,NA,11:20:48,21,11:22:06,11:22:06,19,15,secondary ignition is manual,ARTCAL,1,596,77,179.8,11:20:48,CH1,175.6,CH2,180.19859649122807,4.200000000000017,232.504309063893,5633.003794937633,11:18:56,3958.2003276888954,11:18:42,0.7621850877192983,0.4675947368421053,3957.732732952053,0.14285714285714285
ARTCAL,3,2022-08-03,1,4,SM,yes,25,3.7,2.2,18.22,0,0.22000000000000003,NA,10:48:21,28.1,46,1,10:49:53,0,NA,NA,NA,NA,NA,NA,NA,NA,10:55:20,10:55:20,19,16.5,NA,ARTCAL,NA,NA,NA,NA,NA,NA,188.8,CH2,NA,NA,227.01387559808612,5725.91016199463,10:51:33,3640.8477031062553,10:49:34,NA,NA,NA,0.14285714285714285
ARTCAL,4,2022-08-03,1,5,SM,yes,21.5,4.8,2.3,17.75,0,0.19,NA,10:57:28,28.5,44,1,10:58:38,0,NA,NA,NA,NA,NA,NA,NA,NA,11:04:53,11:04:53,19,16.5,videos were started after plant was put in; plant is still rather green (ADDED 2 SECONDS),ARTCAL,NA,NA,NA,NA,NA,NA,189,CH2,NA,NA,228.71801801801803,5847.503187729589,11:03:57,3684.4250801907615,11:03:41,NA,NA,NA,0.14285714285714285
ARTCAL,5,2022-08-03,2,1,SM,yes,25,13,8,19.56,13,0.225,NA,11:07:45,29.3,42,1,11:08:11,0,NA,NA,NA,NA,NA,NA,NA,NA,11:13:19,11:13:19,19,16.5,NA,ARTCAL,NA,NA,NA,NA,NA,NA,213.3,CH2,NA,NA,228.33423423423423,5846.9501194927325,11:12:23,3832.1100370935205,11:13:06,NA,NA,NA,0.14285714285714285
ARTCAL,7,2022-08-03,3,1,SM,yes,21.5,4,3.7,18.3,21,0.315,second cut ,11:33:57,30.1,41,1,11:34:30,0,NA,NA,NA,NA,NA,NA,NA,NA,11:38:15,11:38:15,19,16.5,NA,ARTCAL,NA,NA,NA,NA,NA,NA,251,CH2,NA,NA,227.00194552529183,6081.932951004966,11:36:37,3772.46338687757,11:36:58,NA,NA,NA,0.14285714285714285
ARTCAL,8,2022-08-03,3,2,SM,yes,25,2.5,2.6,18.08,21,0.25,NA,11:39:52,29.7,40,1,11:40:38,0,NA,NA,NA,NA,NA,NA,NA,NA,11:43:34,11:43:34,19,16.5,NA,ARTCAL,NA,NA,NA,NA,NA,NA,253.4,CH2,NA,NA,228.16244343891404,5913.657472783992,11:40:15,3820.3727641606056,11:42:01,NA,NA,NA,0.14285714285714285
ARTCAL,9,2022-08-03,3,3,SM,yes,25,8.6,5.3,18.83,12,0.25,NA,11:46:25,30,41,1,11:46:46,0,NA,NA,NA,NA,NA,NA,NA,NA,11:50:53,11:50:53,19,16.5,NA,ARTCAL,NA,NA,NA,NA,NA,NA,248.6,CH2,NA,NA,224.7797752808989,5786.094298315383,11:48:42,3788.062285873916,11:47:07,NA,NA,NA,0.14285714285714285
ARTCAL,11,2022-08-03,3,5,SM,yes,25,10,5.2,19.45,15,0.32,NA,12:03:35,29.3,34,1,12:03:46,0,NA,NA,NA,NA,NA,NA,NA,NA,12:10:52,12:10:52,19,16.5,NA,ARTCAL,NA,NA,NA,NA,NA,NA,245.6,CH2,NA,NA,226.9954128440367,5871.365320286622,12:08:56,3749.9457322928242,12:08:34,NA,NA,NA,0.14285714285714285
