,date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes_on_plant_char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,end_time,thermocoupler_height,hotplate_height,notes_on_flam_data,Species,end_ct,glow_start_ct,glow_end_ct,maxflameht_ct,firstigstart_ct,secondigstart_ct,firstigend_ct,secondigend_ct
0,2022-08-03,ARTCAL,1.0,1.0,SM,yes,25.5,4.5,3.0,18.51,0.0,0.22999999999999998,,2023-06-19 10:18:36,2023-06-19 00:00:27,26.6,54.0,0.0,,M,2023-06-19 00:07:09,2023-06-19 00:07:11,,,,,2023-06-19 00:07:09,26.0,2023-06-19 00:08:08,2023-06-19 00:08:08,19.0,16.5,,ARTCAL,2023-06-19 10:26:17,,2023-06-19 10:26:17,2023-06-19 10:25:18,2023-06-19 10:25:18,,2023-06-19 10:25:20,
1,2022-08-03,ARTCAL,1.0,2.0,SM,yes,25.0,4.8,3.0,18.13,0.0,0.16,,2023-06-19 10:28:58,2023-06-19 00:00:00,27.4,49.0,1.0,2023-06-19 00:00:57,0,,,,,,,,,2023-06-19 00:07:27,2023-06-19 00:07:27,19.0,16.5,videos were started after plant was put in; plant is still rather green (ADDED 2 SECONDS),ARTCAL,2023-06-19 10:36:25,2023-06-19 10:29:55,2023-06-19 10:36:25,,,,,
2,2022-08-03,ARTCAL,1.0,3.0,SM,yes,25.0,7.1,5.0,18.33,1.0,0.2,,2023-06-19 10:38:13,2023-06-19 00:00:12,27.6,47.0,1.0,2023-06-19 00:00:54,0,,,,,,,,,2023-06-19 00:07:52,2023-06-19 00:07:52,19.0,16.5,,ARTCAL,2023-06-19 10:45:53,2023-06-19 10:38:55,2023-06-19 10:45:53,,,,,
3,2022-08-03,ARTCAL,1.0,4.0,SM,yes,25.0,3.7,2.2,18.22,0.0,0.22000000000000003,,2023-06-19 10:48:21,2023-06-19 00:00:18,28.1,46.0,1.0,2023-06-19 00:01:50,0,,,,,,,,,2023-06-19 00:07:17,2023-06-19 00:07:17,19.0,16.5,,ARTCAL,2023-06-19 10:55:20,2023-06-19 10:49:53,2023-06-19 10:55:20,,,,,
4,2022-08-03,ARTCAL,1.0,5.0,SM,yes,21.5,4.8,2.3,17.75,0.0,0.19,,2023-06-19 10:57:28,2023-06-19 00:00:00,28.5,44.0,1.0,2023-06-19 00:01:10,0,,,,,,,,,2023-06-19 00:07:25,2023-06-19 00:07:25,19.0,16.5,videos were started after plant was put in; plant is still rather green (ADDED 2 SECONDS),ARTCAL,2023-06-19 11:04:53,2023-06-19 10:58:38,2023-06-19 11:04:53,,,,,
5,2022-08-03,ARTCAL,2.0,1.0,SM,yes,25.0,13.0,8.0,19.56,13.0,0.225,,2023-06-19 11:07:45,2023-06-19 00:01:29,29.3,42.0,1.0,2023-06-19 00:01:55,0,,,,,,,,,2023-06-19 00:07:03,2023-06-19 00:07:03,19.0,16.5,,ARTCAL,2023-06-19 11:13:19,2023-06-19 11:08:11,2023-06-19 11:13:19,,,,,
6,2022-08-03,ARTCAL,2.0,3.0,SM,yes,25.0,7.0,4.3,20.06,16.0,0.13,"thick stem, second cut of same branch",2023-06-19 11:26:49,2023-06-19 00:00:23,29.6,41.0,1.0,2023-06-19 00:00:44,1,2023-06-19 00:01:01,2023-06-19 00:01:04,,,,,2023-06-19 00:01:01,32.0,2023-06-19 00:05:28,2023-06-19 00:05:28,19.0,16.5,,ARTCAL,2023-06-19 11:31:54,2023-06-19 11:27:10,2023-06-19 11:31:54,2023-06-19 11:27:27,2023-06-19 11:27:27,,2023-06-19 11:27:30,
7,2022-08-03,ARTCAL,3.0,1.0,SM,yes,21.5,4.0,3.7,18.3,21.0,0.315,second cut ,2023-06-19 11:33:57,2023-06-19 00:00:22,30.1,41.0,1.0,2023-06-19 00:00:55,0,,,,,,,,,2023-06-19 00:04:40,2023-06-19 00:04:40,19.0,16.5,,ARTCAL,2023-06-19 11:38:15,2023-06-19 11:34:30,2023-06-19 11:38:15,,,,,
8,2022-08-03,ARTCAL,3.0,2.0,SM,yes,25.0,2.5,2.6,18.08,21.0,0.25,,2023-06-19 11:39:52,2023-06-19 00:00:18,29.7,40.0,1.0,2023-06-19 00:01:04,0,,,,,,,,,2023-06-19 00:04:00,2023-06-19 00:04:00,19.0,16.5,,ARTCAL,2023-06-19 11:43:34,2023-06-19 11:40:38,2023-06-19 11:43:34,,,,,
9,2022-08-03,ARTCAL,3.0,3.0,SM,yes,25.0,8.6,5.3,18.83,12.0,0.25,,2023-06-19 11:46:25,2023-06-19 00:00:32,30.0,41.0,1.0,2023-06-19 00:00:53,0,,,,,,,,,2023-06-19 00:05:00,2023-06-19 00:05:00,19.0,16.5,,ARTCAL,2023-06-19 11:50:53,2023-06-19 11:46:46,2023-06-19 11:50:53,,,,,
