"treatment","species","method","leaf_mass","time","VOC"
"WET","Salvia leucophylla","Control ",0.0704,"0",18
"WET","Salvia leucophylla","Control ",0.0704,"1",177
"WET","Salvia leucophylla","Control ",0.0704,"2.5",153
"WET","Salvia leucophylla","Control ",0.0704,"5",142
"WET","Salvia leucophylla","Control ",0.0704,"7.5",154
"WET","Salvia leucophylla","Control ",0.0704,"10",181
"WET","Salvia leucophylla","Control ",0.0728,"0",314
"WET","Salvia leucophylla","Control ",0.0728,"1",697
"WET","Salvia leucophylla","Control ",0.0728,"2.5",688
"WET","Salvia leucophylla","Control ",0.0728,"5",643
"WET","Salvia leucophylla","Control ",0.0728,"7.5",619
"WET","Salvia leucophylla","Control ",0.0728,"10",572
"WET","Salvia leucophylla","Control ",0.1552,"0",866
"WET","Salvia leucophylla","Control ",0.1552,"1",1036
"WET","Salvia leucophylla","Control ",0.1552,"2.5",970
"WET","Salvia leucophylla","Control ",0.1552,"5",967
"WET","Salvia leucophylla","Control ",0.1552,"7.5",771
"WET","Salvia leucophylla","Control ",0.1552,"10",610
"WET","Salvia leucophylla","Control ",0.1437,"0",683
"WET","Salvia leucophylla","Control ",0.1437,"1",701
"WET","Salvia leucophylla","Control ",0.1437,"2.5",860
"WET","Salvia leucophylla","Control ",0.1437,"5",813
"WET","Salvia leucophylla","Control ",0.1437,"7.5",768
"WET","Salvia leucophylla","Control ",0.1437,"10",737
"WET","Salvia leucophylla","Control ",0.1194,"0",732
"WET","Salvia leucophylla","Control ",0.1194,"1",871
"WET","Salvia leucophylla","Control ",0.1194,"2.5",792
"WET","Salvia leucophylla","Control ",0.1194,"5",757
"WET","Salvia leucophylla","Control ",0.1194,"7.5",752
"WET","Salvia leucophylla","Control ",0.1194,"10",747
"WET","Salvia leucophylla","Heated ",0.0483,"0",721
"WET","Salvia leucophylla","Heated ",0.0483,"1",977
"WET","Salvia leucophylla","Heated ",0.0483,"2.5",1242
"WET","Salvia leucophylla","Heated ",0.0483,"5",1387
"WET","Salvia leucophylla","Heated ",0.0483,"7.5",1449
"WET","Salvia leucophylla","Heated ",0.0483,"10",1694
"WET","Salvia leucophylla","Heated ",0.0728,"0",583
"WET","Salvia leucophylla","Heated ",0.0728,"1",802
"WET","Salvia leucophylla","Heated ",0.0728,"2.5",1437
"WET","Salvia leucophylla","Heated ",0.0728,"5",1843
"WET","Salvia leucophylla","Heated ",0.0728,"7.5",2329
"WET","Salvia leucophylla","Heated ",0.0728,"10",2642
"WET","Salvia leucophylla","Heated ",0.1283,"0",951
"WET","Salvia leucophylla","Heated ",0.1283,"1",1637
"WET","Salvia leucophylla","Heated ",0.1283,"2.5",1726
"WET","Salvia leucophylla","Heated ",0.1283,"5",2153
"WET","Salvia leucophylla","Heated ",0.1283,"7.5",3602
"WET","Salvia leucophylla","Heated ",0.1283,"10",6243
"WET","Salvia leucophylla","Heated ",0.0928,"0",849
"WET","Salvia leucophylla","Heated ",0.0928,"1",1209
"WET","Salvia leucophylla","Heated ",0.0928,"2.5",1493
"WET","Salvia leucophylla","Heated ",0.0928,"5",1892
"WET","Salvia leucophylla","Heated ",0.0928,"7.5",2398
"WET","Salvia leucophylla","Heated ",0.0928,"10",2647
"WET","Salvia leucophylla","Heated ",0.0549,"0",1184
"WET","Salvia leucophylla","Heated ",0.0549,"1",1896
"WET","Salvia leucophylla","Heated ",0.0549,"2.5",1853
"WET","Salvia leucophylla","Heated ",0.0549,"5",1758
"WET","Salvia leucophylla","Heated ",0.0549,"7.5",1722
"WET","Salvia leucophylla","Heated ",0.0549,"10",1684
"WET","Salvia apiana","Control ",0.0476,"0",653
"WET","Salvia apiana","Control ",0.0476,"1",751
"WET","Salvia apiana","Control ",0.0476,"2.5",672
"WET","Salvia apiana","Control ",0.0476,"5",652
"WET","Salvia apiana","Control ",0.0476,"7.5",649
"WET","Salvia apiana","Control ",0.0476,"10",552
"WET","Salvia apiana","Control ",0.1242,"0",840
"WET","Salvia apiana","Control ",0.1242,"1",1157
"WET","Salvia apiana","Control ",0.1242,"2.5",980
"WET","Salvia apiana","Control ",0.1242,"5",764
"WET","Salvia apiana","Control ",0.1242,"7.5",602
"WET","Salvia apiana","Control ",0.1242,"10",562
"WET","Salvia apiana","Control ",0.2052,"0",400
"WET","Salvia apiana","Control ",0.2052,"1",602
"WET","Salvia apiana","Control ",0.2052,"2.5",562
"WET","Salvia apiana","Control ",0.2052,"5",507
"WET","Salvia apiana","Control ",0.2052,"7.5",485
"WET","Salvia apiana","Control ",0.2052,"10",498
"WET","Salvia apiana","Control ",0.1321,"0",837
"WET","Salvia apiana","Control ",0.1321,"1",1062
"WET","Salvia apiana","Control ",0.1321,"2.5",904
"WET","Salvia apiana","Control ",0.1321,"5",795
"WET","Salvia apiana","Control ",0.1321,"7.5",657
"WET","Salvia apiana","Control ",0.1321,"10",648
"WET","Salvia apiana","Control ",0.1431,"0",617
"WET","Salvia apiana","Control ",0.1431,"1",1035
"WET","Salvia apiana","Control ",0.1431,"2.5",858
"WET","Salvia apiana","Control ",0.1431,"5",681
"WET","Salvia apiana","Control ",0.1431,"7.5",657
"WET","Salvia apiana","Control ",0.1431,"10",601
"WET","Salvia apiana","Heated ",0.1149,"0",565
"WET","Salvia apiana","Heated ",0.1149,"1",2735
"WET","Salvia apiana","Heated ",0.1149,"2.5",2918
"WET","Salvia apiana","Heated ",0.1149,"5",2516
"WET","Salvia apiana","Heated ",0.1149,"7.5",2491
"WET","Salvia apiana","Heated ",0.1149,"10",2375
"WET","Salvia apiana","Heated ",0.1197,"0",136
"WET","Salvia apiana","Heated ",0.1197,"1",757
"WET","Salvia apiana","Heated ",0.1197,"2.5",652
"WET","Salvia apiana","Heated ",0.1197,"5",782
"WET","Salvia apiana","Heated ",0.1197,"7.5",961
"WET","Salvia apiana","Heated ",0.1197,"10",1123
"WET","Salvia apiana","Heated ",0.183,"0",575
"WET","Salvia apiana","Heated ",0.183,"1",1653
"WET","Salvia apiana","Heated ",0.183,"2.5",2153
"WET","Salvia apiana","Heated ",0.183,"5",2372
"WET","Salvia apiana","Heated ",0.183,"7.5",2186
"WET","Salvia apiana","Heated ",0.183,"10",2102
"WET","Salvia apiana","Heated ",0.2104,"0",839
"WET","Salvia apiana","Heated ",0.2104,"1",1799
"WET","Salvia apiana","Heated ",0.2104,"2.5",2431
"WET","Salvia apiana","Heated ",0.2104,"5",2673
"WET","Salvia apiana","Heated ",0.2104,"7.5",2431
"WET","Salvia apiana","Heated ",0.2104,"10",2149
"WET","Salvia apiana","Heated ",0.3997,"0",454
"WET","Salvia apiana","Heated ",0.3997,"1",4108
"WET","Salvia apiana","Heated ",0.3997,"2.5",5816
"WET","Salvia apiana","Heated ",0.3997,"5",8469
"WET","Salvia apiana","Heated ",0.3997,"7.5",21440
"WET","Salvia apiana","Heated ",0.3997,"10",34520
"WET","Ceanothus griseus","Control ",0.1311,"0",0
"WET","Ceanothus griseus","Control ",0.1311,"1",0
"WET","Ceanothus griseus","Control ",0.1311,"2.5",0
"WET","Ceanothus griseus","Control ",0.1311,"5",0
"WET","Ceanothus griseus","Control ",0.1311,"7.5",0
"WET","Ceanothus griseus","Control ",0.1311,"10",0
"WET","Ceanothus griseus","Control ",0.3283,"0",0
