Date,Input_by,Species,Plant,Trt,Leaf_number,Thickness,Leaf_wet_mass (g),Cup_number,Leaf_dry_mass,notes
2022-07-13,RD,MALLAU,P1,W,1,0.23,46.001,82,44.0164,
2022-07-13,RD,MALLAU,P1,W,2,0.32,46.001,82,44.0164,
2022-07-13,RD,MALLAU,P1,W,3,0.29,46.001,82,44.0164,
2022-07-13,RD,MALLAU,P1,W,4,0.26,46.001,82,44.0164,
2022-07-13,RD,MALLAU,P1,W,5,0.23,46.001,82,44.0164,
2022-07-13,RD,MALLAU,P2,W,1,0.25,45.764,35,44.0657,
2022-07-13,RD,MALLAU,P2,W,2,0.25,45.764,35,44.0657,
2022-07-13,RD,MALLAU,P2,W,3,0.24,45.764,35,44.0657,
2022-07-13,RD,MALLAU,P2,W,4,0.22,45.764,35,44.0657,
2022-07-13,RD,MALLAU,P2,W,5,0.23,45.764,35,44.0657,
2022-07-13,RD,MALLAU,P3,W,1,0.25,13.185,64,12.604,
2022-07-13,RD,MALLAU,P3,W,2,0.25,13.185,64,12.604,
2022-07-13,RD,MALLAU,P3,W,3,0.28,13.185,64,12.604,
2022-07-13,RD,MALLAU,P3,W,4,0.18,13.185,64,12.604,
2022-07-13,RD,MALLAU,P3,W,5,0.23,13.185,64,12.604,
2022-07-13,RD,MALLAU,P4,W,1,0.24,47.444,33,44.8389,
2022-07-13,RD,MALLAU,P4,W,2,0.26,47.444,33,44.8389,
2022-07-13,RD,MALLAU,P4,W,3,0.24,47.444,33,44.8389,
2022-07-13,RD,MALLAU,P4,W,4,0.26,47.444,33,44.8389,
2022-07-13,RD,MALLAU,P4,W,5,0.22,47.444,33,44.8389,
2022-07-13,RD,MALLAU,P5,W,1,0.33,14.316,69,13.0811,
2022-07-13,RD,MALLAU,P5,W,2,0.34,14.316,69,13.0811,
2022-07-13,RD,MALLAU,P5,W,3,0.28,14.316,69,13.0811,
2022-07-13,RD,MALLAU,P5,W,4,0.26,14.316,69,13.0811,
