Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
1,2023/03/08 14:40:10,0,+  48.2,+  43.8,+ 140.9,+ 112.6,+  51.9,+  45.0,+ 0.294,+ 0.104,LLLLLLLLLL,LLLL
2,2023/03/08 14:40:10,500,+  48.3,+  43.8,+ 141.1,+ 112.7,+  52.0,+  45.2,+ 0.312,+ 0.101,LLLLLLLLLL,LLLL
3,2023/03/08 14:40:11,0,+  48.4,+  43.9,+ 141.1,+ 112.8,+  52.1,+  45.2,+ 0.310,+ 0.100,LLLLLLLLLL,LLLL
4,2023/03/08 14:40:11,500,+  48.4,+  44.0,+ 141.3,+ 112.9,+  52.1,+  45.3,+ 0.269,+ 0.098,LLLLLLLLLL,LLLL
5,2023/03/08 14:40:12,0,+  48.4,+  44.0,+ 141.5,+ 112.9,+  52.1,+  45.3,+ 0.295,+ 0.095,LLLLLLLLLL,LLLL
6,2023/03/08 14:40:12,500,+  48.4,+  44.0,+ 141.7,+ 113.0,+  52.1,+  45.3,+ 0.362,+ 0.098,LLLLLLLLLL,LLLL
7,2023/03/08 14:40:13,0,+  48.4,+  44.1,+ 141.8,+ 113.0,+  52.1,+  45.4,+ 0.187,+ 0.105,LLLLLLLLLL,LLLL
8,2023/03/08 14:40:13,500,+  48.4,+  44.1,+ 141.9,+ 113.0,+  52.2,+  45.4,+ 0.269,+ 0.094,LLLLLLLLLL,LLLL
9,2023/03/08 14:40:14,0,+  48.4,+  44.1,+ 142.0,+ 113.2,+  52.2,+  45.4,+ 0.149,+ 0.105,LLLLLLLLLL,LLLL
10,2023/03/08 14:40:14,500,+  48.4,+  44.2,+ 142.1,+ 113.2,+  52.2,+  45.4,+ 0.348,+ 0.096,LLLLLLLLLL,LLLL
11,2023/03/08 14:40:15,0,+  48.4,+  44.2,+ 142.2,+ 113.3,+  52.2,+  45.4,+ 0.222,+ 0.111,LLLLLLLLLL,LLLL
12,2023/03/08 14:40:15,500,+  48.4,+  44.3,+ 142.3,+ 113.4,+  52.3,+  45.5,+ 0.269,+ 0.100,LLLLLLLLLL,LLLL
13,2023/03/08 14:40:16,0,+  48.4,+  44.3,+ 142.3,+ 113.5,+  52.3,+  45.5,+ 0.312,+ 0.096,LLLLLLLLLL,LLLL
14,2023/03/08 14:40:16,500,+  48.4,+  44.3,+ 142.5,+ 113.6,+  52.4,+  45.5,+ 0.233,+ 0.095,LLLLLLLLLL,LLLL
15,2023/03/08 14:40:17,0,+  48.4,+  44.3,+ 142.6,+ 113.8,+  52.4,+  45.5,+ 0.275,+ 0.098,LLLLLLLLLL,LLLL
16,2023/03/08 14:40:17,500,+  48.5,+  44.3,+ 142.6,+ 113.8,+  52.4,+  45.6,+ 0.307,+ 0.099,LLLLLLLLLL,LLLL
17,2023/03/08 14:40:18,0,+  48.5,+  44.3,+ 142.8,+ 114.0,+  52.4,+  45.6,+ 0.276,+ 0.100,LLLLLLLLLL,LLLL
18,2023/03/08 14:40:18,500,+  48.5,+  44.4,+ 142.8,+ 114.0,+  52.4,+  45.6,+ 0.251,+ 0.098,LLLLLLLLLL,LLLL
19,2023/03/08 14:40:19,0,+  48.5,+  44.4,+ 143.0,+ 114.1,+  52.4,+  45.6,+ 0.335,+ 0.096,LLLLLLLLLL,LLLL
20,2023/03/08 14:40:19,500,+  48.5,+  44.4,+ 143.1,+ 114.2,+  52.5,+  45.6,+ 0.348,+ 0.097,LLLLLLLLLL,LLLL
