Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
1,2023/03/08 11:42:40,0,+  44.4,+  43.2,+ 118.6,+ 103.1,+ 108.2,+  95.2,+ 0.257,+ 0.132,LLLLLLLLLL,LLLL
2,2023/03/08 11:42:40,500,+  44.5,+  43.3,+ 119.2,+ 103.2,+ 108.3,+  95.2,+ 0.365,+ 0.131,LLLLLLLLLL,LLLL
3,2023/03/08 11:42:41,0,+  44.6,+  43.4,+ 119.7,+ 103.4,+ 108.3,+  95.2,+ 0.335,+ 0.132,LLLLLLLLLL,LLLL
4,2023/03/08 11:42:41,500,+  44.7,+  43.4,+ 120.4,+ 103.5,+ 108.3,+  95.2,+ 0.422,+ 0.135,LLLLLLLLLL,LLLL
5,2023/03/08 11:42:42,0,+  44.9,+  43.4,+ 120.9,+ 103.7,+ 108.3,+  95.2,+ 0.443,+ 0.134,LLLLLLLLLL,LLLL
6,2023/03/08 11:42:42,500,+  45.0,+  43.5,+ 121.4,+ 103.8,+ 108.4,+  95.2,+ 0.397,+ 0.136,LLLLLLLLLL,LLLL
7,2023/03/08 11:42:43,0,+  45.0,+  43.5,+ 122.0,+ 104.1,+ 108.5,+  95.2,+ 0.393,+ 0.141,LLLLLLLLLL,LLLL
8,2023/03/08 11:42:43,500,+  45.2,+  43.5,+ 122.5,+ 104.2,+ 108.5,+  95.2,+ 0.299,+ 0.138,LLLLLLLLLL,LLLL
9,2023/03/08 11:42:44,0,+  45.3,+  43.6,+ 123.1,+ 104.4,+ 108.7,+  95.2,+ 0.308,+ 0.138,LLLLLLLLLL,LLLL
10,2023/03/08 11:42:44,500,+  45.3,+  43.7,+ 123.6,+ 104.6,+ 108.8,+  95.3,+ 0.357,+ 0.137,LLLLLLLLLL,LLLL
11,2023/03/08 11:42:45,0,+  45.5,+  43.7,+ 124.2,+ 104.8,+ 109.0,+  95.4,+ 0.381,+ 0.135,LLLLLLLLLL,LLLL
12,2023/03/08 11:42:45,500,+  45.6,+  43.7,+ 124.6,+ 104.9,+ 109.2,+  95.4,+ 0.341,+ 0.130,LLLLLLLLLL,LLLL
13,2023/03/08 11:42:46,0,+  45.7,+  43.7,+ 125.2,+ 105.1,+ 109.3,+  95.4,+ 0.354,+ 0.133,LLLLLLLLLL,LLLL
14,2023/03/08 11:42:46,500,+  45.8,+  43.8,+ 125.7,+ 105.2,+ 109.4,+  95.5,+ 0.319,+ 0.137,LLLLLLLLLL,LLLL
15,2023/03/08 11:42:47,0,+  46.0,+  43.9,+ 126.3,+ 105.4,+ 109.5,+  95.5,+ 0.403,+ 0.136,LLLLLLLLLL,LLLL
16,2023/03/08 11:42:47,500,+  46.1,+  43.9,+ 126.8,+ 105.7,+ 109.6,+  95.5,+ 0.251,+ 0.144,LLLLLLLLLL,LLLL
17,2023/03/08 11:42:48,0,+  46.3,+  44.0,+ 127.4,+ 106.0,+ 109.7,+  95.5,+ 0.306,+ 0.147,LLLLLLLLLL,LLLL
18,2023/03/08 11:42:48,500,+  46.4,+  44.0,+ 128.0,+ 106.2,+ 109.9,+  95.4,+ 0.262,+ 0.141,LLLLLLLLLL,LLLL
19,2023/03/08 11:42:49,0,+  46.5,+  44.0,+ 128.5,+ 106.5,+ 110.0,+  95.4,+ 0.281,+ 0.141,LLLLLLLLLL,LLLL
20,2023/03/08 11:42:49,500,+  46.7,+  44.1,+ 129.0,+ 106.6,+ 110.1,+  95.5,+ 0.311,+ 0.136,LLLLLLLLLL,LLLL
21,2023/03/08 11:42:50,0,+  46.8,+  44.1,+ 129.4,+ 106.9,+ 110.2,+  95.5,+ 0.398,+ 0.137,LLLLLLLLLL,LLLL
22,2023/03/08 11:42:50,500,+  46.9,+  44.2,+ 129.9,+ 107.1,+ 110.3,+  95.5,+ 0.246,+ 0.135,LLLLLLLLLL,LLLL
23,2023/03/08 11:42:51,0,+  47.0,+  44.2,+ 130.3,+ 107.5,+ 110.5,+  95.5,+ 0.286,+ 0.147,LLLLLLLLLL,LLLL
24,2023/03/08 11:42:51,500,+  47.2,+  44.2,+ 130.8,+ 107.7,+ 110.6,+  95.7,+ 0.399,+ 0.145,LLLLLLLLLL,LLLL
25,2023/03/08 11:42:52,0,+  47.3,+  44.3,+ 131.3,+ 107.9,+ 110.7,+  95.7,+ 0.367,+ 0.141,LLLLLLLLLL,LLLL
26,2023/03/08 11:42:52,500,+  47.5,+  44.3,+ 131.9,+ 108.3,+ 110.7,+  95.7,+ 0.388,+ 0.139,LLLLLLLLLL,LLLL
27,2023/03/08 11:42:53,0,+  47.6,+  44.3,+ 132.4,+ 108.5,+ 110.7,+  95.6,+ 0.358,+ 0.137,LLLLLLLLLL,LLLL
28,2023/03/08 11:42:53,500,+  47.7,+  44.4,+ 132.8,+ 108.8,+ 110.7,+  95.7,+ 0.244,+ 0.142,LLLLLLLLLL,LLLL
29,2023/03/08 11:42:54,0,+  47.9,+  44.4,+ 133.3,+ 109.0,+ 110.7,+  95.7,+ 0.404,+ 0.143,LLLLLLLLLL,LLLL
30,2023/03/08 11:42:54,500,+  48.0,+  44.4,+ 133.8,+ 109.3,+ 110.7,+  95.8,+ 0.342,+ 0.146,LLLLLLLLLL,LLLL
31,2023/03/08 11:42:55,0,+  48.1,+  44.6,+ 134.4,+ 109.5,+ 110.8,+  95.9,+ 0.398,+ 0.148,LLLLLLLLLL,LLLL
32,2023/03/08 11:42:55,500,+  48.2,+  44.6,+ 134.9,+ 109.7,+ 110.9,+  95.9,+ 0.388,+ 0.148,LLLLLLLLLL,LLLL
33,2023/03/08 11:42:56,0,+  48.4,+  44.7,+ 135.6,+ 109.9,+ 111.0,+  95.9,+ 0.254,+ 0.146,LLLLLLLLLL,LLLL
34,2023/03/08 11:42:56,500,+  48.6,+  44.7,+ 136.1,+ 110.2,+ 111.0,+  95.9,+ 0.290,+ 0.146,LLLLLLLLLL,LLLL
35,2023/03/08 11:42:57,0,+  48.7,+  44.7,+ 136.5,+ 110.4,+ 111.0,+  95.9,+ 0.388,+ 0.142,LLLLLLLLLL,LLLL
36,2023/03/08 11:42:57,500,+  48.9,+  44.8,+ 137.1,+ 110.5,+ 111.0,+  95.9,+ 0.389,+ 0.138,LLLLLLLLLL,LLLL
37,2023/03/08 11:42:58,0,+  49.0,+  44.8,+ 137.6,+ 110.8,+ 111.0,+  96.1,+ 0.421,+ 0.143,LLLLLLLLLL,LLLL
38,2023/03/08 11:42:58,500,+  49.2,+  44.9,+ 138.2,+ 111.0,+ 111.3,+  96.2,+ 0.350,+ 0.146,LLLLLLLLLL,LLLL
39,2023/03/08 11:42:59,0,+  49.3,+  44.9,+ 138.7,+ 111.2,+ 111.4,+  96.2,+ 0.399,+ 0.135,LLLLLLLLLL,LLLL
40,2023/03/08 11:42:59,500,+  49.5,+  45.0,+ 139.2,+ 111.5,+ 111.6,+  96.3,+ 0.340,+ 0.134,LLLLLLLLLL,LLLL
41,2023/03/08 11:43:00,0,+  49.5,+  45.0,+ 139.7,+ 111.6,+ 111.8,+  96.3,+ 0.439,+ 0.149,LLLLLLLLLL,LLLL
42,2023/03/08 11:43:00,500,+  49.6,+  45.0,+ 140.2,+ 111.9,+ 112.1,+  96.3,+ 0.343,+ 0.147,LLLLLLLLLL,LLLL
43,2023/03/08 11:43:01,0,+  49.8,+  45.1,+ 140.6,+ 112.1,+ 112.3,+  96.3,+ 0.267,+ 0.153,LLLLLLLLLL,LLLL
44,2023/03/08 11:43:01,500,+  49.9,+  45.1,+ 141.0,+ 112.4,+ 112.5,+  96.3,+ 0.362,+ 0.144,LLLLLLLLLL,LLLL
45,2023/03/08 11:43:02,0,+  50.1,+  45.2,+ 141.4,+ 112.6,+ 112.6,+  96.3,+ 0.484,+ 0.150,LLLLLLLLLL,LLLL
46,2023/03/08 11:43:02,500,+  50.2,+  45.2,+ 141.8,+ 112.8,+ 112.7,+  96.3,+ 0.332,+ 0.148,LLLLLLLLLL,LLLL
47,2023/03/08 11:43:03,0,+  50.3,+  45.3,+ 142.1,+ 113.0,+ 112.8,+  96.4,+ 0.436,+ 0.144,LLLLLLLLLL,LLLL
48,2023/03/08 11:43:03,500,+  50.4,+  45.3,+ 142.5,+ 113.2,+ 112.9,+  96.4,+ 0.460,+ 0.144,LLLLLLLLLL,LLLL
49,2023/03/08 11:43:04,0,+  50.5,+  45.3,+ 142.9,+ 113.3,+ 113.0,+  96.4,+ 0.410,+ 0.154,LLLLLLLLLL,LLLL
50,2023/03/08 11:43:04,500,+  50.7,+  45.4,+ 143.3,+ 113.6,+ 113.2,+  96.5,+ 0.403,+ 0.154,LLLLLLLLLL,LLLL
51,2023/03/08 11:43:05,0,+  50.8,+  45.4,+ 143.6,+ 113.8,+ 113.3,+  96.6,+ 0.357,+ 0.153,LLLLLLLLLL,LLLL
52,2023/03/08 11:43:05,500,+  50.9,+  45.5,+ 144.0,+ 113.9,+ 113.3,+  96.6,+ 0.351,+ 0.151,LLLLLLLLLL,LLLL
53,2023/03/08 11:43:06,0,+  51.0,+  45.5,+ 144.4,+ 114.1,+ 113.5,+  96.6,+ 0.384,+ 0.147,LLLLLLLLLL,LLLL
54,2023/03/08 11:43:06,500,+  51.1,+  45.5,+ 144.8,+ 114.3,+ 113.5,+  96.6,+ 0.418,+ 0.148,LLLLLLLLLL,LLLL
55,2023/03/08 11:43:07,0,+  51.3,+  45.6,+ 145.1,+ 114.6,+ 113.5,+  96.6,+ 0.433,+ 0.150,LLLLLLLLLL,LLLL
56,2023/03/08 11:43:07,500,+  51.3,+  45.6,+ 145.5,+ 114.8,+ 113.6,+  96.8,+ 0.438,+ 0.140,LLLLLLLLLL,LLLL
57,2023/03/08 11:43:08,0,+  51.4,+  45.7,+ 145.9,+ 115.0,+ 113.6,+  96.9,+ 0.344,+ 0.155,LLLLLLLLLL,LLLL
58,2023/03/08 11:43:08,500,+  51.6,+  45.7,+ 146.2,+ 115.2,+ 113.7,+  96.9,+ 0.391,+ 0.148,LLLLLLLLLL,LLLL
59,2023/03/08 11:43:09,0,+  51.7,+  45.8,+ 146.7,+ 115.4,+ 113.8,+  97.0,+ 0.405,+ 0.150,LLLLLLLLLL,LLLL
60,2023/03/08 11:43:09,500,+  51.9,+  45.8,+ 147.1,+ 115.6,+ 114.0,+  97.0,+ 0.318,+ 0.148,LLLLLLLLLL,LLLL
61,2023/03/08 11:43:10,0,+  52.0,+  45.8,+ 147.4,+ 115.7,+ 114.1,+  97.0,+ 0.366,+ 0.155,LLLLLLLLLL,LLLL
62,2023/03/08 11:43:10,500,+  52.1,+  45.9,+ 147.8,+ 115.9,+ 114.3,+  97.2,+ 0.348,+ 0.152,LLLLLLLLLL,LLLL
63,2023/03/08 11:43:11,0,+  52.2,+  45.9,+ 148.2,+ 116.1,+ 114.4,+  97.3,+ 0.318,+ 0.150,LLLLLLLLLL,LLLL
64,2023/03/08 11:43:11,500,+  52.4,+  46.0,+ 148.5,+ 116.3,+ 114.6,+  97.3,+ 0.378,+ 0.145,LLLLLLLLLL,LLLL
65,2023/03/08 11:43:12,0,+  52.4,+  46.0,+ 148.8,+ 116.5,+ 114.7,+  97.4,+ 0.272,+ 0.148,LLLLLLLLLL,LLLL
66,2023/03/08 11:43:12,500,+  52.5,+  46.0,+ 149.1,+ 116.6,+ 114.9,+  97.6,+ 0.352,+ 0.145,LLLLLLLLLL,LLLL
67,2023/03/08 11:43:13,0,+  52.7,+  46.1,+ 149.4,+ 116.7,+ 115.1,+  97.6,+ 0.442,+ 0.137,LLLLLLLLLL,LLLL
68,2023/03/08 11:43:13,500,+  52.7,+  46.1,+ 149.7,+ 116.8,+ 115.2,+  97.7,+ 0.308,+ 0.139,LLLLLLLLLL,LLLL
69,2023/03/08 11:43:14,0,+  52.8,+  46.1,+ 150.0,+ 117.0,+ 115.2,+  97.7,+ 0.336,+ 0.150,LLLLLLLLLL,LLLL
70,2023/03/08 11:43:14,500,+  53.0,+  46.2,+ 150.4,+ 117.2,+ 115.4,+  97.8,+ 0.272,+ 0.154,LLLLLLLLLL,LLLL
71,2023/03/08 11:43:15,0,+  53.1,+  46.3,+ 150.7,+ 117.4,+ 115.5,+  97.8,+ 0.377,+ 0.163,LLLLLLLLLL,LLLL
72,2023/03/08 11:43:15,500,+  53.3,+  46.3,+ 151.0,+ 117.5,+ 115.5,+  97.8,+ 0.350,+ 0.159,LLLLLLLLLL,LLLL
73,2023/03/08 11:43:16,0,+  53.4,+  46.3,+ 151.3,+ 117.6,+ 115.7,+  97.8,+ 0.349,+ 0.150,LLLLLLLLLL,LLLL
74,2023/03/08 11:43:16,500,+  53.4,+  46.4,+ 151.7,+ 117.9,+ 115.8,+  98.1,+ 0.285,+ 0.159,LLLLLLLLLL,LLLL
75,2023/03/08 11:43:17,0,+  53.6,+  46.4,+ 152.0,+ 118.0,+ 116.0,+  98.2,+ 0.381,+ 0.150,LLLLLLLLLL,LLLL
76,2023/03/08 11:43:17,500,+  53.7,+  46.5,+ 152.4,+ 118.2,+ 116.1,+  98.4,+ 0.382,+ 0.147,LLLLLLLLLL,LLLL
77,2023/03/08 11:43:18,0,+  53.8,+  46.5,+ 152.8,+ 118.4,+ 116.2,+  98.5,+ 0.315,+ 0.143,LLLLLLLLLL,LLLL
78,2023/03/08 11:43:18,500,+  53.9,+  46.6,+ 153.0,+ 118.6,+ 116.3,+  98.5,+ 0.240,+ 0.138,LLLLLLLLLL,LLLL
79,2023/03/08 11:43:19,0,+  54.0,+  46.6,+ 153.2,+ 118.8,+ 116.4,+  98.5,+ 0.388,+ 0.149,LLLLLLLLLL,LLLL
80,2023/03/08 11:43:19,500,+  54.2,+  46.7,+ 153.5,+ 119.0,+ 116.5,+  98.6,+ 0.390,+ 0.154,LLLLLLLLLL,LLLL
81,2023/03/08 11:43:20,0,+  54.2,+  46.7,+ 153.6,+ 119.1,+ 116.5,+  98.6,+ 0.373,+ 0.151,LLLLLLLLLL,LLLL
82,2023/03/08 11:43:20,500,+  54.3,+  46.7,+ 153.9,+ 119.4,+ 116.6,+  98.7,+ 0.330,+ 0.146,LLLLLLLLLL,LLLL
83,2023/03/08 11:43:21,0,+  54.5,+  46.8,+ 154.2,+ 119.6,+ 116.6,+  98.9,+ 0.343,+ 0.159,LLLLLLLLLL,LLLL
84,2023/03/08 11:43:21,500,+  54.6,+  46.9,+ 154.5,+ 119.8,+ 116.8,+  98.9,+ 0.425,+ 0.164,LLLLLLLLLL,LLLL
85,2023/03/08 11:43:22,0,+  54.6,+  46.9,+ 154.7,+ 119.9,+ 116.8,+  98.9,+ 0.339,+ 0.148,LLLLLLLLLL,LLLL
86,2023/03/08 11:43:22,500,+  54.7,+  46.9,+ 155.0,+ 120.1,+ 116.9,+  98.9,+ 0.330,+ 0.145,LLLLLLLLLL,LLLL
